Unnamed: 0,Optimizer,Fully Connected,Activation,Blocks,Node,AVG Train,AVG Valid,AVG Test,Time,Filters,Model
0,sgd,2,sigmoid,1,512,0.5,0.5018518567085266,0.4944444298744202,269.8521966934204,,1
1,sgd,2,sigmoid,1,1024,0.5081481337547302,0.4855555593967438,0.4944444298744202,297.00914692878723,,2
2,sgd,2,tanh,1,512,0.7061111132303873,0.7007407546043396,0.7022222081820171,362.609534740448,,3
3,sgd,2,tanh,1,1024,0.7038888732592264,0.6970370411872864,0.6955555478731791,365.6589872837066,,4
4,sgd,2,relu,1,512,0.6788888971010844,0.6788888971010844,0.6755555470784506,365.33402967453003,,5
5,sgd,2,relu,1,1024,0.6744444568951925,0.6714814702669779,0.6577777862548828,365.3018276691437,,6
0,sgd,2,tanh,1,256,0.6855555574099222,0.6766666571299235,0.6955555478731791,369.0178577899933,,7
1,sgd,2,tanh,1,512,0.7022222280502319,0.6874074141184489,0.7077777783075968,364.7596189975738,,8
2,sgd,2,tanh,2,256,0.7394444545110067,0.7225925922393799,0.7522222201029459,366.9705448150635,,9
3,sgd,2,tanh,2,512,0.7446296413739523,0.7214814821879069,0.7477777798970541,366.8264384269714,,10
4,sgd,2,tanh,3,256,0.657962958017985,0.6555555462837219,0.6588888963063558,365.9844434261322,,11
5,sgd,2,tanh,3,512,0.6898148258527121,0.6699999968210856,0.6844444473584493,363.16201281547546,,12
0,sgd,2,relu,1,512,0.7994444568951925,0.7559259335199991,0.7544444402058921,1891.8516952991488,,13
1,sgd,2,relu,1,1000,0.7542592684427897,0.7203703920046488,0.7322221994400024,2055.727095603943,,14
2,sgd,2,relu,2,512,0.7851851781209309,0.7722222208976746,0.7911111116409302,2243.614867925644,,15
3,sgd,2,relu,2,1000,0.7794444362322489,0.7474074165026346,0.7922222216924032,1943.3995699882507,,16
4,sgd,2,relu,3,512,0.6612962881724039,0.6448148091634115,0.6588888764381409,2060.815739154816,,17
5,sgd,2,relu,3,1000,0.6355555653572083,0.6329629619916279,0.6144444346427917,2209.183311462403,,18
0,sgd,2,relu,1,512,0.7812963128089905,0.7448148131370544,0.7522222201029459,2054.2257289886475,,19
1,sgd,2,relu,1,1000,0.7970370451609293,0.7525925834973654,0.7511111100514731,2178.693670034409,,20
2,sgd,2,relu,1,512,0.7679629723230997,0.7481481631596884,0.7355555693308512,2414.9763362407684,,21
3,sgd,2,relu,1,1000,0.8294444481531779,0.7633333404858907,0.7677777806917826,2342.80832529068,,22
4,sgd,2,relu,1,512,0.7894444266955057,0.7485185265541077,0.7622222105662028,2287.307559967041,,23
5,sgd,2,relu,1,1000,0.7803703745206197,0.737407386302948,0.7388888994852701,2387.795680046081,,24
0,sgd,2,tanh,1,512,0.8059259255727133,0.7696296374003092,0.7911111116409302,1585.7831594944,64.0,25
1,sgd,2,tanh,1,1000,0.8029629588127136,0.7688888907432556,0.7944444616635641,1528.7989616394045,64.0,26
2,sgd,2,tanh,1,512,0.8209259311358134,0.7692592342694601,0.8011111219724021,1671.8478152751925,128.0,27
3,sgd,2,tanh,1,1000,0.8270370364189148,0.7900000015894572,0.8033333222071329,1973.5420203208926,128.0,28
0,adam,2,relu,1,128,0.5507407387097677,0.5370370348294576,0.5344444314638773,318.13203668594366,,29
1,adam,2,relu,1,256,0.6046296159426371,0.5955555637677511,0.5866666634877523,323.2375454902649,,30
2,adam,2,relu,1,512,0.5327777763207754,0.5181481540203094,0.5244444410006205,254.7371692657471,,31
3,sgd,2,relu,1,128,0.6872222224871317,0.6714814702669779,0.6833333174387614,365.69456672668457,,32
4,sgd,2,relu,1,256,0.6911110877990723,0.6644444266955057,0.6855555574099222,361.1179428100586,,33
5,sgd,2,relu,1,512,0.6929629643758138,0.6762962738672892,0.6922222177187601,362.3067889213562,,34
6,rmsprop,2,relu,1,128,0.6453703840573629,0.6322222153345743,0.6622222264607748,337.6080989837646,,35
7,rmsprop,2,relu,1,256,0.6540740728378296,0.649999996026357,0.6688888867696127,338.4431488513946,,36
8,rmsprop,2,relu,1,512,0.493703693151474,0.5144444505373637,0.4944444298744202,216.80658984184262,,37
