,Filters,Pool Sizes,Dropout,Dropout Value,AVG Train,AVG Valid,AVG Test,Time
0,128,"(3, 3)",True,0.2,,0.7196296254793803,0.7599999904632568,407.0468487739563
1,128,"(3, 3)",True,0.5,,0.7051851948102316,0.7333333492279053,403.4019470214844
2,128,"(3, 3)",False,0.2,,0.7129629651705424,0.748888889948527,404.30751156806946
3,128,"(3, 3)",False,0.5,,0.7177777886390686,0.7411111195882162,404.275874376297
4,128,"(5, 5)",True,0.2,,0.7392592628796896,0.7388888994852701,402.94527649879456
5,128,"(5, 5)",True,0.5,,0.7455555399258932,0.7433333396911621,402.90990138053894
6,128,"(5, 5)",False,0.2,,0.7288888891537985,0.7666666507720947,403.0217356681824
7,128,"(5, 5)",False,0.5,,0.7392592628796896,0.7555555502573649,403.59950613975525
8,128,"(7, 7)",True,0.2,,0.6674073934555054,0.6811111172040304,403.1925194263458
9,128,"(7, 7)",True,0.5,,0.6792592406272888,0.7144444584846497,404.1644854545593
10,128,"(7, 7)",False,0.2,,0.7077777783075968,0.7444444497426351,403.90410256385803
11,128,"(7, 7)",False,0.5,,0.7192592620849609,0.7222222089767456,403.3701226711273
12,256,"(3, 3)",True,0.2,,0.7133333285649618,0.7477777798970541,703.4533655643463
13,256,"(3, 3)",True,0.5,,0.6840740839640299,0.7111111084620158,704.761766910553
14,256,"(3, 3)",False,0.2,,0.7151852051417033,0.7433333396911621,702.0114948749542
15,256,"(3, 3)",False,0.5,,0.7314814726511637,0.75,702.297150850296
16,256,"(5, 5)",True,0.2,,0.7396296262741089,0.7633333206176758,656.9010622501373
17,256,"(5, 5)",True,0.5,,0.7037037014961243,0.7133333285649618,657.0690271854401
18,256,"(5, 5)",False,0.2,,0.7425925930341085,0.7477777798970541,657.1395030021667
19,256,"(5, 5)",False,0.5,,0.732962946097056,0.7666666507720947,656.9260673522949
20,256,"(7, 7)",True,0.2,,0.6714814702669779,0.7311111092567444,647.3866686820984
21,256,"(7, 7)",True,0.5,,0.707777758439382,0.7333333293596903,646.8986005783081
22,256,"(7, 7)",False,0.2,,0.6885185043017069,0.7477777997652689,646.6060118675232
23,256,"(7, 7)",False,0.5,,0.715925931930542,0.7611111005147299,645.2294874191284
